,Unnamed: 0,Unnamed: 0.1,년도,월,일,요일,시각,사고등급,사망자수,중상자수,경상자수,부상자수,연령,성별,경력,음주,종별,용도,관련자2,사고형태,기상상태,일광상태,사고유형1,사고유형2,법규위반,도로종류,지점명,위도,경도,자치구,Unnamed: 0.1.1,0,0.1,0.0,grade,class,target
14,14,28,2019,7,2,화요일,1,경상사고,0,0,3,0,39,남,15년이상,0.0,승용,비사업용,승용,일직선사고,기타,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,30~39,65세 미만 운전자,0
15,15,29,2019,8,9,금요일,19,경상사고,0,0,1,0,42,남,15년이상,,승용,비사업용,승합,기타사고,맑음,출퇴근,차대차,차대차-기타,교차로운행방법위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,40~49,65세 미만 운전자,0
16,16,34,2019,10,10,목요일,8,경상사고,0,0,1,0,65,남,15년이상,,승용,사업용,승용,일직선사고,맑음,출퇴근,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,60~69,65세 이상 고령운전자,1
17,17,36,2019,11,21,목요일,15,중상사고,0,2,0,0,54,여,15년미만,,승용,비사업용,이륜,진입회전사고,맑음,주간,차대차,측면직각충돌,안전거리미확보,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,50~59,65세 미만 운전자,0
18,18,37,2019,11,15,금요일,17,경상사고,0,0,1,0,64,남,15년이상,,승용,비사업용,승용,일직선사고,비,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,60~69,65세 미만 운전자,0
19,19,38,2019,11,15,금요일,21,경상사고,0,0,1,0,26,남,1년미만,,승용,비사업용,원동기,진입회전사고,맑음,심야,차대차,차대차-기타,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,20~29,65세 미만 운전자,0
20,20,39,2019,12,31,화요일,11,경상사고,0,0,1,0,44,남,15년미만,,승용,비사업용,보행자,보행횡단사고,맑음,주간,차대사람,보도통행중,기타,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,40~49,65세 미만 운전자,0
21,21,40,2019,12,1,일요일,19,경상사고,0,0,2,0,67,남,15년이상,,승용,사업용,승용,기타사고,비,출퇴근,차대차,차대차-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,60~69,65세 이상 고령운전자,1
22,22,42,2017,3,22,수요일,17,중상사고,0,1,1,0,67,남,15년이상,,승용,사업용,승합,기타사고,맑음,주간,차대차,차대차-기타,교차로운행방법위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,60~69,65세 이상 고령운전자,1
23,23,43,2017,4,9,일요일,16,경상사고,0,0,1,0,34,여,15년이상,,승용,비사업용,이륜,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,30~39,65세 미만 운전자,0
24,24,45,2017,5,30,화요일,17,경상사고,0,0,1,0,71,여,15년이상,,승용,비사업용,승용,진입회전사고,맑음,주간,차대차,측면직각충돌,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,70~79,65세 이상 고령운전자,1
25,25,46,2017,6,7,수요일,8,경상사고,0,0,1,0,54,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,출퇴근,차대차,정면충돌,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,50~59,65세 미만 운전자,0
26,26,48,2017,6,4,일요일,18,경상사고,0,0,4,0,40,여,15년이상,,승합,비사업용,승합,진입회전사고,맑음,출퇴근,차대차,정면충돌,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,40~49,65세 미만 운전자,0
27,27,49,2017,7,17,월요일,3,경상사고,0,0,1,0,50,남,15년이상,,승용,사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전거리미확보,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,50~59,65세 미만 운전자,0
28,28,50,2017,7,18,화요일,9,경상사고,0,0,1,0,54,남,10년미만,,승용,비사업용,보행자,보행횡단사고,비,주간,차대사람,횡단중,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,50~59,65세 미만 운전자,0
29,29,51,2017,8,9,수요일,13,경상사고,0,0,1,0,73,남,15년이상,,승용,사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,70~79,65세 이상 고령운전자,1
30,30,52,2017,8,29,화요일,18,경상사고,0,0,1,0,60,남,15년이상,,승용,사업용,화물,진입회전사고,맑음,출퇴근,차대차,측면직각충돌,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,60~69,65세 미만 운전자,0
31,31,54,2017,9,1,금요일,1,중상사고,0,2,0,0,43,남,15년이상,0.0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,정면충돌,중앙선침범,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,40~49,65세 미만 운전자,0
32,32,55,2017,9,17,일요일,9,중상사고,0,1,0,0,11,남,데이터오류,,자전거,기타,자전거,일직선사고,맑음,주간,차대차,정면충돌,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,10~19,65세 미만 운전자,0
33,33,57,2017,11,17,금요일,16,중상사고,0,1,0,0,50,여,15년이상,,승용,비사업용,이륜,진입회전사고,맑음,주간,차대차,측면직각충돌,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,50~59,65세 미만 운전자,0
34,34,58,2017,12,20,수요일,0,중상사고,0,1,0,0,61,남,15년이상,,승용,사업용,승용,진입회전사고,맑음,심야,차대차,추돌(진행중),신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,60~69,65세 미만 운전자,0
35,35,59,2017,12,24,일요일,4,경상사고,0,0,1,0,70,남,15년이상,,승용,사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),차로위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,70~79,65세 이상 고령운전자,1
36,36,60,2018,1,10,수요일,10,경상사고,0,0,1,0,74,남,15년이상,,승용,사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,70~79,65세 이상 고령운전자,1
37,37,64,2018,5,20,일요일,17,경상사고,0,0,1,0,62,남,10년미만,,승용,사업용,자전거,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,60~69,65세 미만 운전자,0
38,38,65,2018,6,29,금요일,19,경상사고,0,0,3,3,75,남,15년이상,,승용,비사업용,승용,진입회전사고,맑음,출퇴근,차대차,차대차-기타,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,70~79,65세 이상 고령운전자,1
39,39,66,2018,7,27,금요일,6,중상사고,0,1,0,0,69,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,새벽,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,60~69,65세 이상 고령운전자,1
40,40,67,2018,7,10,화요일,7,경상사고,0,0,2,0,28,남,10년미만,,승용,비사업용,이륜,기타사고,맑음,출퇴근,차대차,차대차-기타,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,20~29,65세 미만 운전자,0
41,41,68,2018,9,28,금요일,17,경상사고,0,0,1,0,40,여,15년이상,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,40~49,65세 미만 운전자,0
42,42,69,2018,9,9,일요일,20,경상사고,0,0,1,0,25,여,10년미만,,승용,비사업용,승용,기타사고,맑음,출퇴근,차대차,차대차-기타,안전운전불이행,기타,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,20~29,65세 미만 운전자,0
43,43,72,2018,11,27,화요일,1,경상사고,0,0,2,0,27,남,5년미만,0.0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,20~29,65세 미만 운전자,0
44,44,74,2018,12,19,수요일,0,경상사고,0,0,2,0,34,남,15년이상,0.0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,30~39,65세 미만 운전자,0
45,45,75,2019,1,23,수요일,18,경상사고,0,0,2,0,50,여,15년이상,,승용,비사업용,승용,일직선사고,기타,출퇴근,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,50~59,65세 미만 운전자,0
46,46,76,2019,1,7,월요일,20,경상사고,0,0,1,0,51,남,15년이상,,이륜,데이터오류,이륜,진입회전사고,맑음,출퇴근,차대차,추돌(진행중),신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,50~59,65세 미만 운전자,0
47,47,77,2019,3,11,월요일,5,경상사고,0,0,1,0,63,남,1년미만,,승용,사업용,이륜,진입회전사고,맑음,새벽,차대차,차대차-기타,신호위반,기타,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,60~69,65세 미만 운전자,0
48,48,78,2019,3,6,수요일,11,경상사고,0,0,1,0,27,남,데이터오류,0.0,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,20~29,65세 미만 운전자,0
49,49,80,2019,4,15,월요일,15,경상사고,0,0,1,0,49,남,15년미만,,승용,사업용,승용,진입회전사고,맑음,주간,차대차,측면직각충돌,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,40~49,65세 미만 운전자,0
50,50,81,2019,7,18,목요일,12,경상사고,0,0,3,0,40,남,10년미만,,승용,비사업용,승용,진입회전사고,맑음,주간,차대차,정면충돌,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,40~49,65세 미만 운전자,0
51,51,82,2019,7,3,수요일,14,경상사고,0,0,1,0,69,남,15년이상,,승용,사업용,승합,진입회전사고,맑음,주간,차대차,차대차-기타,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,,,,,60~69,65세 이상 고령운전자,1
52,52,84,2017,1,29,일요일,4,경상사고,0,0,1,1,61,남,15년이상,,승용,사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,60~69,65세 미만 운전자,0
53,53,85,2017,2,20,월요일,14,경상사고,0,0,1,0,47,남,15년이상,,승용,비사업용,이륜,주정차사고,맑음,주간,차대차,추돌(주정차중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,40~49,65세 미만 운전자,0
54,54,86,2017,3,30,목요일,0,경상사고,0,0,2,0,36,남,15년이상,0.0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,정면충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,30~39,65세 미만 운전자,0
55,55,87,2017,3,28,화요일,5,경상사고,0,0,1,0,33,남,15년미만,0.0,승용,비사업용,승용,일직선사고,맑음,새벽,차대차,정면충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,30~39,65세 미만 운전자,0
56,56,88,2017,3,23,목요일,20,경상사고,0,0,1,0,65,남,15년이상,,승용,사업용,승용,기타사고,맑음,출퇴근,차대차,차대차-기타,교차로운행방법위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,60~69,65세 이상 고령운전자,1
57,57,89,2017,4,27,목요일,8,경상사고,0,0,1,0,42,여,15년이상,,승용,비사업용,이륜,일직선사고,맑음,출퇴근,차대차,정면충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,40~49,65세 미만 운전자,0
58,58,93,2017,8,10,목요일,17,경상사고,0,0,1,0,59,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,50~59,65세 미만 운전자,0
59,59,94,2017,8,21,월요일,22,경상사고,0,0,1,0,48,여,15년미만,,승용,비사업용,승용,기타사고,맑음,심야,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,40~49,65세 미만 운전자,0
60,60,96,2017,9,27,수요일,20,경상사고,0,0,1,0,38,남,15년이상,,이륜,기타,이륜,기타사고,맑음,출퇴근,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,30~39,65세 미만 운전자,0
61,61,97,2017,10,14,토요일,12,중상사고,0,1,0,0,29,남,15년미만,,승용,비사업용,이륜,진입회전사고,맑음,주간,차대차,차대차-기타,신호위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,20~29,65세 미만 운전자,0
62,62,98,2017,11,25,토요일,11,경상사고,0,0,1,0,43,여,15년이상,,승용,비사업용,승용,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,40~49,65세 미만 운전자,0
63,63,99,2017,12,5,화요일,7,경상사고,0,0,2,0,32,남,15년이상,,승용,비사업용,승용,기타사고,맑음,출퇴근,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,30~39,65세 미만 운전자,0
64,64,100,2017,12,9,토요일,13,경상사고,0,0,1,0,65,남,15년이상,,승용,사업용,승용,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,60~69,65세 이상 고령운전자,1
65,65,101,2017,12,21,목요일,17,경상사고,0,0,1,0,41,남,15년이상,,화물,비사업용,이륜,일직선사고,맑음,주간,차대차,정면충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,40~49,65세 미만 운전자,0
66,66,102,2018,1,18,목요일,0,중상사고,0,1,5,0,43,남,15년이상,0.0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,40~49,65세 미만 운전자,0
67,67,103,2018,2,4,일요일,7,경상사고,0,0,1,0,31,남,2년미만,,승용,비사업용,승용,일직선사고,맑음,출퇴근,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,30~39,65세 미만 운전자,0
68,68,104,2018,5,30,수요일,15,중상사고,0,1,0,0,62,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,60~69,65세 미만 운전자,0
69,69,105,2018,6,17,일요일,12,경상사고,0,0,1,0,77,남,15년이상,,승용,비사업용,보행자,기타사고,흐림,주간,차대사람,차대사람-기타,안전운전불이행,기타,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,70~79,65세 이상 고령운전자,1
70,70,106,2018,6,12,화요일,22,부상사고,0,0,0,3,37,남,15년이상,,승용,비사업용,승용,기타사고,흐림,심야,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,30~39,65세 미만 운전자,0
71,71,111,2018,9,29,토요일,10,경상사고,0,0,1,0,24,남,2년미만,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,20~29,65세 미만 운전자,0
72,72,112,2018,10,26,금요일,4,중상사고,0,1,0,0,25,여,3년미만,0.0,승용,비사업용,승용,진입회전사고,기타,심야,차대차,측면직각충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,20~29,65세 미만 운전자,0
73,73,115,2019,5,10,금요일,0,중상사고,0,1,0,0,60,남,15년이상,,승용,사업용,이륜,진입회전사고,맑음,심야,차대차,측면직각충돌,신호위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,60~69,65세 미만 운전자,0
74,74,116,2019,5,20,월요일,1,경상사고,0,0,2,0,61,남,15년이상,,승용,사업용,승용,기타사고,기타,심야,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,60~69,65세 미만 운전자,0
75,75,117,2019,5,10,금요일,3,중상사고,0,1,1,0,65,남,15년이상,0.0,승용,비사업용,승용,진입회전사고,맑음,심야,차대차,측면직각충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,60~69,65세 이상 고령운전자,1
76,76,118,2019,5,10,금요일,3,부상사고,0,0,0,2,65,남,15년이상,0.0,승용,비사업용,승용,기타사고,맑음,심야,차대차,차대차-기타,안전운전불이행,기타,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,60~69,65세 이상 고령운전자,1
77,77,119,2019,5,21,화요일,23,경상사고,0,0,1,0,42,남,4년미만,,승용,비사업용,승용,진입회전사고,맑음,심야,차대차,측면직각충돌,교차로운행방법위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,40~49,65세 미만 운전자,0
78,78,120,2019,6,13,목요일,22,경상사고,0,0,1,0,43,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,40~49,65세 미만 운전자,0
79,79,121,2019,7,31,수요일,7,부상사고,0,0,0,1,52,남,15년이상,,승용,비사업용,건설기계,진입회전사고,비,출퇴근,차대차,측면직각충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,50~59,65세 미만 운전자,0
80,80,125,2019,11,9,토요일,14,경상사고,0,0,1,0,31,남,2년미만,,승용,사업용,승용,진입회전사고,맑음,주간,차대차,측면직각충돌,차로위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,,,,,30~39,65세 미만 운전자,0
81,81,126,2017,1,20,금요일,21,경상사고,0,0,1,0,53,남,15년이상,,승용,비사업용,보행자,보행횡단사고,맑음,심야,차대사람,횡단중,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,50~59,65세 미만 운전자,0
82,82,128,2017,2,26,일요일,18,경상사고,0,0,2,0,75,남,15년이상,,승용,사업용,승용,기타사고,맑음,출퇴근,차대차,차대차-기타,교차로운행방법위반,기타,선릉역부근,37.504487,127.048957,강남구,,,,,70~79,65세 이상 고령운전자,1
83,83,129,2017,3,15,수요일,9,중상사고,0,1,0,0,39,여,15년이상,,승용,비사업용,보행자,보행횡단사고,맑음,주간,차대사람,횡단중,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,30~39,65세 미만 운전자,0
84,84,130,2017,3,12,일요일,23,부상사고,0,0,0,1,57,남,15년이상,,승용,사업용,보행자,기타사고,맑음,심야,차대사람,차대사람-기타,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,50~59,65세 미만 운전자,0
85,85,133,2017,9,4,월요일,8,중상사고,0,1,0,0,71,남,15년이상,,승용,사업용,보행자,보행횡단사고,맑음,출퇴근,차대사람,횡단중,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,70~79,65세 이상 고령운전자,1
86,86,134,2017,9,9,토요일,18,경상사고,0,0,1,0,63,남,15년이상,,승용,사업용,보행자,기타사고,맑음,출퇴근,차대사람,길가장자리구역통행중,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,60~69,65세 미만 운전자,0
87,87,137,2017,12,16,토요일,11,경상사고,0,0,1,0,57,남,15년이상,,승용,비사업용,이륜,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,기타,선릉역부근,37.504487,127.048957,강남구,,,,,50~59,65세 미만 운전자,0
88,88,138,2017,12,15,금요일,22,중상사고,0,2,1,0,48,남,15년이상,,승용,비사업용,보행자,기타사고,흐림,심야,차대사람,길가장자리구역통행중,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,40~49,65세 미만 운전자,0
89,89,139,2018,1,15,월요일,13,경상사고,0,0,1,0,60,남,15년이상,,승용,사업용,보행자,기타사고,맑음,주간,차대사람,길가장자리구역통행중,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,60~69,65세 미만 운전자,0
90,90,140,2018,3,26,월요일,4,중상사고,0,1,0,0,35,남,15년이상,,승용,비사업용,보행자,기타사고,맑음,심야,차대사람,차대사람-기타,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,30~39,65세 미만 운전자,0
91,91,144,2018,5,24,목요일,12,경상사고,0,0,1,0,28,여,10년미만,,승용,비사업용,보행자,기타사고,맑음,주간,차대사람,길가장자리구역통행중,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,20~29,65세 미만 운전자,0
92,92,145,2018,8,16,목요일,10,경상사고,0,0,2,0,66,남,10년미만,,승용,사업용,승용,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,60~69,65세 이상 고령운전자,1
93,93,146,2018,8,8,수요일,20,중상사고,0,1,0,0,65,남,15년이상,,승용,사업용,보행자,기타사고,맑음,출퇴근,차대사람,길가장자리구역통행중,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,60~69,65세 이상 고령운전자,1
94,94,147,2018,10,5,금요일,12,경상사고,0,0,1,0,56,남,10년미만,,승용,사업용,보행자,기타사고,맑음,주간,차대사람,길가장자리구역통행중,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,50~59,65세 미만 운전자,0
95,95,149,2019,1,31,목요일,15,중상사고,0,1,0,0,75,남,15년이상,,승용,사업용,보행자,기타사고,맑음,주간,차대사람,길가장자리구역통행중,안전운전불이행,특별광역시도,선릉역부근,37.504487,127.048957,강남구,,,,,70~79,65세 이상 고령운전자,1
96,96,151,2019,1,24,목요일,17,경상사고,0,0,1,0,53,여,15년이상,,승용,비사업용,보행자,보행횡단사고,맑음,주간,차대사람,횡단중,안전운전불이행,기타,선릉역부근,37.504487,127.048957,강남구,,,,,50~59,65세 미만 운전자,0
