년도,월,일,요일,시각,사고등급,사망자수,중상자수,경상자수,부상자수,연령,성별,경력,음주,종별,용도,관련자2,사고형태,기상상태,일광상태,사고유형1,사고유형2,법규위반,도로종류,지점명,위도,경도,자치구,
2017,12,16,토요일,0,경상사고,0,0,1,0,36,남,15년이상,0,승용,비사업용,승용,진입회전사고,흐림,심야,차대차,차대차-기타,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,12,27,수요일,20,중상사고,0,1,0,0,38,남,15년이상,0,승용,비사업용,승합,진입회전사고,맑음,출퇴근,차대차,추돌(진행중),신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2018,1,23,화요일,11,중상사고,0,1,0,0,56,남,15년이상,,승용,비사업용,이륜,진입회전사고,맑음,주간,차대차,측면직각충돌,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2018,3,29,목요일,6,부상사고,0,0,0,1,24,여,10년미만,,승용,비사업용,이륜,기타사고,맑음,새벽,차대차,차대차-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2018,5,13,일요일,17,중상사고,0,2,0,0,38,남,15년이상,,승용,비사업용,이륜,일직선사고,맑음,주간,차대차,정면충돌,교차로운행방법위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2018,7,23,월요일,7,부상사고,0,0,0,1,52,남,15년이상,,승용,비사업용,화물,일직선사고,맑음,출퇴근,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2018,7,16,월요일,11,경상사고,0,0,1,0,74,남,15년이상,,승용,사업용,승용,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2018,7,25,수요일,23,경상사고,0,0,1,0,46,남,15년이상,,승용,비사업용,보행자,보행횡단사고,맑음,심야,차대사람,보도통행중,기타,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2018,11,3,토요일,2,경상사고,0,0,2,0,34,여,15년미만,0,승용,비사업용,승용,기타사고,맑음,심야,차대차,차대차-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2018,12,1,토요일,22,경상사고,0,0,1,0,30,남,15년이상,,승용,비사업용,승용,진입회전사고,맑음,심야,차대차,차대차-기타,신호위반,기타,구역삼세무서,37.4982663,127.0301053,강남구,
2019,1,1,화요일,5,경상사고,0,0,1,0,27,남,15년미만,,승용,비사업용,승용,일직선사고,맑음,새벽,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,1,14,월요일,12,경상사고,0,0,1,0,38,남,15년이상,,승용,비사업용,이륜,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,2,21,목요일,13,경상사고,0,0,1,0,55,남,15년이상,,승합,비사업용,이륜,진입회전사고,맑음,주간,차대차,측면직각충돌,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,4,2,화요일,0,경상사고,0,0,1,0,42,남,15년이상,,승용,비사업용,보행자,기타사고,맑음,심야,차대사람,차대사람-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,4,30,화요일,5,경상사고,0,0,2,0,51,남,3년미만,,승용,비사업용,승용,진입회전사고,맑음,새벽,차대차,차대차-기타,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,5,28,화요일,13,경상사고,0,0,2,0,43,남,15년이상,,화물,사업용,화물,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,5,28,화요일,16,경상사고,0,0,1,0,61,남,10년미만,,승용,비사업용,보행자,기타사고,맑음,주간,차대사람,차대사람-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,5,19,일요일,19,경상사고,0,0,1,0,58,남,10년미만,,승용,사업용,이륜,기타사고,비,출퇴근,차대차,차대차-기타,안전거리미확보,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,7,2,화요일,1,경상사고,0,0,3,0,39,남,15년이상,0,승용,비사업용,승용,일직선사고,기타,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,8,9,금요일,19,경상사고,0,0,1,0,42,남,15년이상,,승용,비사업용,승합,기타사고,맑음,출퇴근,차대차,차대차-기타,교차로운행방법위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,9,26,목요일,6,중상사고,0,1,0,0,40,남,15년이상,0,승용,비사업용,기타,기타사고,맑음,새벽,차량단독,차량단독-기타,안전운전불이행,기타,구역삼세무서,37.4982663,127.0301053,강남구,
2019,9,7,토요일,21,경상사고,0,0,3,1,26,남,10년미만,,승합,사업용,승합,기타사고,흐림,심야,차대차,차대차-기타,교차로운행방법위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,10,8,화요일,0,부상사고,0,0,0,1,68,남,15년이상,,승용,사업용,이륜,진입회전사고,맑음,심야,차대차,차대차-기타,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,10,17,목요일,3,경상사고,0,0,4,0,39,남,10년미만,,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,기타,구역삼세무서,37.4982663,127.0301053,강남구,
2019,10,10,목요일,8,경상사고,0,0,1,0,65,남,15년이상,,승용,사업용,승용,일직선사고,맑음,출퇴근,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,11,30,토요일,2,부상사고,0,0,0,2,60,남,15년이상,,승용,사업용,이륜,진입회전사고,맑음,심야,차대차,정면충돌,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,11,21,목요일,15,중상사고,0,2,0,0,54,여,15년미만,,승용,비사업용,이륜,진입회전사고,맑음,주간,차대차,측면직각충돌,안전거리미확보,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,11,15,금요일,17,경상사고,0,0,1,0,64,남,15년이상,,승용,비사업용,승용,일직선사고,비,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,11,15,금요일,21,경상사고,0,0,1,0,26,남,1년미만,,승용,비사업용,원동기,진입회전사고,맑음,심야,차대차,차대차-기타,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,12,31,화요일,11,경상사고,0,0,1,0,44,남,15년미만,,승용,비사업용,보행자,보행횡단사고,맑음,주간,차대사람,보도통행중,기타,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2019,12,1,일요일,19,경상사고,0,0,2,0,67,남,15년이상,,승용,사업용,승용,기타사고,비,출퇴근,차대차,차대차-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,1,31,화요일,2,경상사고,0,0,1,1,23,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,3,22,수요일,17,중상사고,0,1,1,0,67,남,15년이상,,승용,사업용,승합,기타사고,맑음,주간,차대차,차대차-기타,교차로운행방법위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,4,9,일요일,16,경상사고,0,0,1,0,34,여,15년이상,,승용,비사업용,이륜,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,5,4,목요일,2,중상사고,0,1,1,0,39,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,5,30,화요일,17,경상사고,0,0,1,0,71,여,15년이상,,승용,비사업용,승용,진입회전사고,맑음,주간,차대차,측면직각충돌,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,6,7,수요일,8,경상사고,0,0,1,0,54,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,출퇴근,차대차,정면충돌,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,6,29,목요일,17,경상사고,0,0,2,0,51,여,15년이상,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,6,4,일요일,18,경상사고,0,0,4,0,40,여,15년이상,,승합,비사업용,승합,진입회전사고,맑음,출퇴근,차대차,정면충돌,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,7,17,월요일,3,경상사고,0,0,1,0,50,남,15년이상,,승용,사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전거리미확보,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,7,18,화요일,9,경상사고,0,0,1,0,54,남,10년미만,,승용,비사업용,보행자,보행횡단사고,비,주간,차대사람,횡단중,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,8,9,수요일,13,경상사고,0,0,1,0,73,남,15년이상,,승용,사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,8,29,화요일,18,경상사고,0,0,1,0,60,남,15년이상,,승용,사업용,화물,진입회전사고,맑음,출퇴근,차대차,측면직각충돌,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,8,4,금요일,20,경상사고,0,0,1,0,59,남,15년이상,,승용,사업용,이륜,기타사고,맑음,출퇴근,차대차,차대차-기타,데이터없음,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,9,1,금요일,1,중상사고,0,2,0,0,43,남,15년이상,0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,정면충돌,중앙선침범,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,9,17,일요일,9,중상사고,0,1,0,0,11,남,데이터오류,,자전거,기타,자전거,일직선사고,맑음,주간,차대차,정면충돌,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,10,16,월요일,15,경상사고,0,0,1,0,72,남,15년이상,,승용,사업용,이륜,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,11,17,금요일,16,중상사고,0,1,0,0,50,여,15년이상,,승용,비사업용,이륜,진입회전사고,맑음,주간,차대차,측면직각충돌,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,12,20,수요일,0,중상사고,0,1,0,0,61,남,15년이상,,승용,사업용,승용,진입회전사고,맑음,심야,차대차,추돌(진행중),신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,12,24,일요일,4,경상사고,0,0,1,0,70,남,15년이상,,승용,사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),차로위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,1,10,수요일,10,경상사고,0,0,1,0,74,남,15년이상,,승용,사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,1,30,화요일,21,경상사고,0,0,1,0,50,남,15년이상,0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,4,29,일요일,13,경상사고,0,0,1,0,28,여,10년미만,,승용,사업용,승용,기타사고,맑음,주간,차대차,차대차-기타,차로위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,4,21,토요일,14,경상사고,0,0,1,0,69,남,15년이상,,승용,사업용,승용,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,기타,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,5,20,일요일,17,경상사고,0,0,1,0,62,남,10년미만,,승용,사업용,자전거,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,6,29,금요일,19,경상사고,0,0,3,3,75,남,15년이상,,승용,비사업용,승용,진입회전사고,맑음,출퇴근,차대차,차대차-기타,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,7,27,금요일,6,중상사고,0,1,0,0,69,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,새벽,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,7,10,화요일,7,경상사고,0,0,2,0,28,남,10년미만,,승용,비사업용,이륜,기타사고,맑음,출퇴근,차대차,차대차-기타,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,9,28,금요일,17,경상사고,0,0,1,0,40,여,15년이상,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,9,9,일요일,20,경상사고,0,0,1,0,25,여,10년미만,,승용,비사업용,승용,기타사고,맑음,출퇴근,차대차,차대차-기타,안전운전불이행,기타,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,10,25,목요일,6,경상사고,0,0,1,0,36,남,15년이상,,승용,사업용,승용,기타사고,맑음,새벽,차대차,차대차-기타,안전거리미확보,기타,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,10,11,목요일,16,중상사고,0,1,0,0,49,여,15년이상,,승용,비사업용,원동기,진입회전사고,맑음,주간,차대차,차대차-기타,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,11,27,화요일,1,경상사고,0,0,2,0,27,남,5년미만,0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,11,28,수요일,17,경상사고,0,0,1,0,55,여,15년이상,,승용,비사업용,승용,기타사고,맑음,주간,차대차,차대차-기타,교차로운행방법위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2018,12,19,수요일,0,경상사고,0,0,2,0,34,남,15년이상,0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2019,1,23,수요일,18,경상사고,0,0,2,0,50,여,15년이상,,승용,비사업용,승용,일직선사고,기타,출퇴근,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2019,1,7,월요일,20,경상사고,0,0,1,0,51,남,15년이상,,이륜,데이터오류,이륜,진입회전사고,맑음,출퇴근,차대차,추돌(진행중),신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2019,3,11,월요일,5,경상사고,0,0,1,0,63,남,1년미만,,승용,사업용,이륜,진입회전사고,맑음,새벽,차대차,차대차-기타,신호위반,기타,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2019,3,6,수요일,11,경상사고,0,0,1,0,27,남,데이터오류,0,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2019,4,17,수요일,8,부상사고,0,0,0,1,55,남,15년이상,,화물,비사업용,이륜,기타사고,맑음,출퇴근,차대차,차대차-기타,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2019,4,15,월요일,15,경상사고,0,0,1,0,49,남,15년미만,,승용,사업용,승용,진입회전사고,맑음,주간,차대차,측면직각충돌,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2019,7,18,목요일,12,경상사고,0,0,3,0,40,남,10년미만,,승용,비사업용,승용,진입회전사고,맑음,주간,차대차,정면충돌,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2019,7,3,수요일,14,경상사고,0,0,1,0,69,남,15년이상,,승용,사업용,승합,진입회전사고,맑음,주간,차대차,차대차-기타,신호위반,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2019,11,1,금요일,18,경상사고,0,0,1,0,67,여,15년이상,,승용,비사업용,승용,기타사고,맑음,출퇴근,차대차,차대차-기타,안전운전불이행,특별광역시도,도곡1동아이파크앞,37.4918784,127.0431042,강남구,
2017,1,29,일요일,4,경상사고,0,0,1,1,61,남,15년이상,,승용,사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,2,20,월요일,14,경상사고,0,0,1,0,47,남,15년이상,,승용,비사업용,이륜,주정차사고,맑음,주간,차대차,추돌(주정차중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,3,30,목요일,0,경상사고,0,0,2,0,36,남,15년이상,0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,정면충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,3,28,화요일,5,경상사고,0,0,1,0,33,남,15년미만,0,승용,비사업용,승용,일직선사고,맑음,새벽,차대차,정면충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,3,23,목요일,20,경상사고,0,0,1,0,65,남,15년이상,,승용,사업용,승용,기타사고,맑음,출퇴근,차대차,차대차-기타,교차로운행방법위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,4,27,목요일,8,경상사고,0,0,1,0,42,여,15년이상,,승용,비사업용,이륜,일직선사고,맑음,출퇴근,차대차,정면충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,5,27,토요일,3,중상사고,0,1,0,0,60,남,15년이상,,승용,사업용,보행자,보행횡단사고,맑음,심야,차대사람,횡단중,보행자보호의무위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,5,23,화요일,4,경상사고,0,0,2,1,60,남,15년이상,,승용,사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전거리미확보,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,7,15,토요일,18,중상사고,0,2,1,0,66,남,15년이상,,승용,사업용,승용,진입회전사고,맑음,출퇴근,차대차,측면직각충돌,신호위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,8,10,목요일,17,경상사고,0,0,1,0,59,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,8,21,월요일,22,경상사고,0,0,1,0,48,여,15년미만,,승용,비사업용,승용,기타사고,맑음,심야,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,9,15,금요일,11,경상사고,0,0,2,0,29,남,3년미만,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전거리미확보,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,9,27,수요일,20,경상사고,0,0,1,0,38,남,15년이상,,이륜,기타,이륜,기타사고,맑음,출퇴근,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,10,14,토요일,12,중상사고,0,1,0,0,29,남,15년미만,,승용,비사업용,이륜,진입회전사고,맑음,주간,차대차,차대차-기타,신호위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,11,25,토요일,11,경상사고,0,0,1,0,43,여,15년이상,,승용,비사업용,승용,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,12,5,화요일,7,경상사고,0,0,2,0,32,남,15년이상,,승용,비사업용,승용,기타사고,맑음,출퇴근,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,12,9,토요일,13,경상사고,0,0,1,0,65,남,15년이상,,승용,사업용,승용,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2017,12,21,목요일,17,경상사고,0,0,1,0,41,남,15년이상,,화물,비사업용,이륜,일직선사고,맑음,주간,차대차,정면충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,1,18,목요일,0,중상사고,0,1,5,0,43,남,15년이상,0,승용,비사업용,승용,일직선사고,맑음,심야,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,2,4,일요일,7,경상사고,0,0,1,0,31,남,2년미만,,승용,비사업용,승용,일직선사고,맑음,출퇴근,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,5,30,수요일,15,중상사고,0,1,0,0,62,남,15년이상,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,6,17,일요일,12,경상사고,0,0,1,0,77,남,15년이상,,승용,비사업용,보행자,기타사고,흐림,주간,차대사람,차대사람-기타,안전운전불이행,기타,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,6,12,화요일,22,부상사고,0,0,0,3,37,남,15년이상,,승용,비사업용,승용,기타사고,흐림,심야,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,7,3,화요일,9,경상사고,0,0,1,0,35,여,10년미만,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,7,16,월요일,14,경상사고,0,0,2,0,62,남,15년이상,,승용,사업용,승용,진입회전사고,맑음,주간,차대차,측면직각충돌,안전거리미확보,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,8,23,목요일,0,경상사고,0,0,2,0,42,남,15년이상,,승용,비사업용,승용,진입회전사고,비,심야,차대차,측면직각충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,8,9,목요일,9,경상사고,0,0,2,0,29,남,10년미만,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,9,29,토요일,10,경상사고,0,0,1,0,24,남,2년미만,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2018,10,26,금요일,4,중상사고,0,1,0,0,25,여,3년미만,0,승용,비사업용,승용,진입회전사고,기타,심야,차대차,측면직각충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2019,1,16,수요일,2,경상사고,0,0,1,0,46,남,15년이상,,승용,사업용,승용,기타사고,맑음,심야,차대차,차대차-기타,교차로운행방법위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2019,4,18,목요일,9,경상사고,0,0,1,0,38,여,15년미만,,승용,비사업용,승용,진입회전사고,맑음,주간,차대차,측면직각충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2019,5,10,금요일,0,중상사고,0,1,0,0,60,남,15년이상,,승용,사업용,이륜,진입회전사고,맑음,심야,차대차,측면직각충돌,신호위반,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2019,5,20,월요일,1,경상사고,0,0,2,0,61,남,15년이상,,승용,사업용,승용,기타사고,기타,심야,차대차,차대차-기타,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2019,5,10,금요일,3,중상사고,0,1,1,0,65,남,15년이상,0,승용,비사업용,승용,진입회전사고,맑음,심야,차대차,측면직각충돌,안전운전불이행,특별광역시도,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
2019,5,10,금요일,3,부상사고,0,0,0,2,65,남,15년이상,0,승용,비사업용,승용,기타사고,맑음,심야,차대차,차대차-기타,안전운전불이행,기타,삼성제일빌딩앞사거리,37.5074045,127.0558803,강남구,
